objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7939876",5G NR,Den Haag,2020/03/28,2020/04/11,5G NR,'s-Gravenhage,86693,453450,2491DJ,1665627500
"7939877",5G NR,Nieuwerbrug,2020/03/25,2020/04/08,5G NR,Bodegraven,114203,453150,2411RL,9197013401
"7939878",5G NR,Utrecht,2020/04/01,2020/04/15,5G NR,Utrecht,134582,453025,3528BJ,1575291980
"7939879",5G NR,Den Haag,2020/04/02,2020/04/16,5G NR,'s-Gravenhage,81565,453533,2521CE,2646572746
"7939880",5G NR,Den Haag,2020/04/02,2020/04/16,5G NR,'s-Gravenhage,79325,453575,2573ZB,8791434135
"7939881",5G NR,Amsterdam,2020/08/11,2020/08/25,5G NR,Amsterdam,116958,489392,1043AG,3564487346
"7939882",5G NR,Amsterdam,2020/03/25,2020/04/08,5G NR,Amsterdam,117750,489423,1043DG,8973946268
"7939883",5G NR,Amsterdam,2020/04/01,2020/04/15,5G NR,Amsterdam,122576,489495,1031XP,2859993664
"7939884",5G NR,Overveen,2020/03/25,2020/04/08,5G NR,Bloemendaal,101433,489686,2051ED,3269231664
"7939885",5G NR,Doornspijk,2021/06/17,2021/07/01,5G NR,Elburg,186953,489508,8084HK,3857433703
"7939886",5G NR,Amsterdam,2020/03/25,2020/04/08,5G NR,Amsterdam,118702,489539,1014AV,6193355572
"7939887",5G NR,Amsterdam,2020/03/25,2020/04/08,5G NR,Amsterdam,119717,489560,1013SG,824178040
"7910891",5G NR,NIEUWEGEIN,2020/11/10,2020/12/10,5G NR,Nieuwegein,132885,450405,3437DG,2462667141
"7910892",5G NR,REEUWIJK,2000/03/15,2020/07/21,5G NR,Reeuwijk,108450,450574,2811DT,1831106812
